epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.006000,2.4126,0.4696,0.6811,0.6068
2,0.005984,0.5763,0.6770,0.4283,0.7401
3,0.005936,0.4425,0.7286,0.3679,0.7654
4,0.005856,0.3681,0.7627,0.3439,0.7528
5,0.005745,0.3291,0.7844,0.2996,0.7930
6,0.005605,0.3042,0.7989,0.2829,0.7885
7,0.005437,0.2738,0.8151,0.3078,0.8084
8,0.005242,0.2568,0.8197,0.2486,0.8376
9,0.005024,0.2431,0.8332,0.2241,0.8420
10,0.004784,0.2241,0.8400,0.2317,0.8293
11,0.004525,0.2146,0.8458,0.2616,0.8293
12,0.004250,0.2044,0.8470,0.2257,0.8276
13,0.003962,0.1902,0.8581,0.2333,0.8199
14,0.003663,0.1783,0.8687,0.2446,0.8409
15,0.003358,0.1820,0.8648,0.2198,0.8513
16,0.003050,0.1665,0.8735,0.2040,0.8596
17,0.002742,0.1550,0.8797,0.2212,0.8370
18,0.002437,0.1432,0.8890,0.2074,0.8612
19,0.002138,0.1346,0.8954,0.1949,0.8651
20,0.001850,0.1340,0.8899,0.2003,0.8662
21,0.001575,0.1243,0.8948,0.2217,0.8563
22,0.001316,0.1209,0.8958,0.2153,0.8640
23,0.001076,0.1075,0.9070,0.2023,0.8651
24,0.000858,0.1022,0.9137,0.2240,0.8579
25,0.000663,0.0944,0.9122,0.2155,0.8618
26,0.000495,0.0990,0.9138,0.2017,0.8695
27,0.000355,0.0962,0.9169,0.2099,0.8634
28,0.000244,0.0990,0.9179,0.2094,0.8623
29,0.000164,0.0938,0.9177,0.2001,0.8700
30,0.000116,0.0849,0.9257,0.2056,0.8706
