epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.020000,0.9760,0.6069,49.3290,0.7453
1,0.020000,0.9803,0.6132,64.4695,0.6925
2,0.019991,0.4906,0.7059,32.6148,0.7241
2,0.019991,0.4937,0.7039,32.5105,0.7503
3,0.019966,0.4361,0.7401,0.3422,0.7690
3,0.019966,0.4294,0.7393,2.2195,0.7302
4,0.019923,0.4075,0.7496,0.3801,0.7481
4,0.019923,0.4116,0.7477,0.3320,0.7671
5,0.019863,0.3940,0.7548,0.4985,0.6892
5,0.019863,0.3895,0.7613,0.2827,0.7888
6,0.019787,0.3814,0.7662,16.7131,0.7869
6,0.019787,0.3821,0.7673,11.3479,0.8053
7,0.019694,0.3798,0.7654,0.3345,0.7406
7,0.019694,0.3777,0.7661,0.3013,0.7629
8,0.019584,0.3669,0.7707,22.4024,0.8018
8,0.019584,0.3708,0.7694,0.3055,0.7902
9,0.019458,0.3633,0.7683,4.0304,0.7797
9,0.019458,0.3572,0.7731,11.1160,0.7789
10,0.019315,0.3659,0.7680,6.4496,0.7896
10,0.019315,0.3633,0.7737,0.2675,0.8100
11,0.019157,0.3621,0.7706,0.9550,0.8191
11,0.019157,0.3561,0.7752,0.2923,0.7971
12,0.018983,0.3472,0.7818,0.4410,0.7602
12,0.018983,0.3511,0.7793,0.2788,0.8007
13,0.018794,0.3567,0.7782,0.2974,0.7960
13,0.018794,0.3483,0.7793,0.3191,0.7847
14,0.018590,0.3505,0.7798,2.9910,0.7676
14,0.018590,0.3510,0.7787,0.3627,0.7285
15,0.018371,0.3424,0.7843,17.8632,0.7632
15,0.018371,0.3406,0.7821,0.3300,0.7616
16,0.018138,0.3398,0.7838,40.7980,0.7896
16,0.018138,0.3487,0.7767,0.2601,0.7888
17,0.017891,0.3428,0.7879,0.3412,0.7913
17,0.017891,0.3392,0.7873,0.3340,0.7924
18,0.017631,0.3429,0.7803,0.3070,0.7891
18,0.017631,0.3330,0.7920,0.3014,0.7927
19,0.017357,0.3334,0.7880,27.5680,0.7720
19,0.017357,0.3317,0.7893,0.2601,0.8034
20,0.017072,0.3370,0.7838,1.3769,0.7979
20,0.017072,0.3288,0.7903,0.2895,0.7894
21,0.016774,0.3297,0.7856,23.0235,0.8051
21,0.016774,0.3244,0.7959,0.2707,0.8161
22,0.016465,0.3248,0.7910,0.2710,0.8161
23,0.016145,0.3249,0.7918,0.2957,0.8056
22,0.016465,0.3264,0.7885,12.9585,0.8194
24,0.015814,0.3159,0.8007,0.2828,0.8243
23,0.016145,0.3197,0.7933,0.2746,0.8097
25,0.015474,0.3106,0.8004,5.5047,0.8086
24,0.015814,0.3174,0.7993,0.2716,0.8224
26,0.015125,0.3088,0.7971,0.2929,0.8100
25,0.015474,0.3122,0.7964,0.2705,0.8177
27,0.014767,0.3178,0.7979,9.4020,0.8227
26,0.015125,0.3111,0.7927,10.6670,0.8114
28,0.014401,0.3068,0.7990,0.2399,0.8252
27,0.014767,0.3127,0.7975,0.2524,0.8219
29,0.014028,0.2933,0.8084,7.8251,0.7987
28,0.014401,0.3013,0.8061,0.2329,0.8425
30,0.013649,0.2968,0.8036,3.2884,0.8086
29,0.014028,0.2936,0.8047,0.2485,0.8131
31,0.013263,0.2924,0.8031,16.6135,0.8265
30,0.013649,0.2924,0.8073,0.2520,0.8064
32,0.012872,0.2953,0.8073,1.7910,0.8351
31,0.013263,0.2928,0.8042,0.2884,0.7885
33,0.012476,0.2764,0.8162,0.2861,0.7974
32,0.012872,0.2900,0.8051,0.2539,0.8298
34,0.012077,0.2829,0.8084,0.2314,0.8334
33,0.012476,0.2789,0.8116,0.2642,0.8208
35,0.011674,0.2745,0.8153,6.0020,0.8252
34,0.012077,0.2787,0.8157,0.2810,0.8084
36,0.011269,0.2743,0.8158,0.2594,0.8243
35,0.011674,0.2791,0.8181,0.5837,0.8279
37,0.010862,0.2643,0.8179,2.3803,0.8406
36,0.011269,0.2773,0.8160,0.2511,0.8216
38,0.010454,0.2656,0.8193,0.2318,0.8285
37,0.010862,0.2585,0.8222,0.2167,0.8466
39,0.010046,0.2583,0.8249,0.2185,0.8334
38,0.010454,0.2643,0.8203,0.2303,0.8249
40,0.009638,0.2529,0.8240,0.2062,0.8521
39,0.010046,0.2592,0.8248,0.2235,0.8323
41,0.009231,0.2573,0.8242,0.2206,0.8268
40,0.009638,0.2564,0.8261,0.2253,0.8450
42,0.008826,0.2461,0.8280,0.2525,0.8224
41,0.009231,0.2466,0.8327,0.2012,0.8521
43,0.008423,0.2527,0.8280,4.3565,0.8257
42,0.008826,0.2486,0.8301,0.2248,0.8367
44,0.008024,0.2432,0.8322,0.2099,0.8472
43,0.008423,0.2449,0.8322,0.2200,0.8444
45,0.007628,0.2352,0.8344,0.1962,0.8491
44,0.008024,0.2321,0.8390,0.2258,0.8519
46,0.007237,0.2315,0.8359,0.2123,0.8403
45,0.007628,0.2292,0.8366,0.2092,0.8513
47,0.006851,0.2316,0.8383,0.2323,0.8304
46,0.007237,0.2300,0.8379,0.2158,0.8376
48,0.006472,0.2214,0.8424,0.2121,0.8491
47,0.006851,0.2293,0.8398,0.2976,0.8439
49,0.006099,0.2115,0.8478,0.2076,0.8417
48,0.006472,0.2115,0.8481,0.2059,0.8444
50,0.005733,0.2178,0.8472,0.2039,0.8458
49,0.006099,0.2059,0.8526,7.5968,0.8345
51,0.005375,0.2023,0.8554,0.1943,0.8524
50,0.005733,0.2150,0.8459,10.7012,0.8414
52,0.005026,0.2040,0.8510,0.2014,0.8466
51,0.005375,0.2021,0.8522,2.2995,0.8535
53,0.004686,0.1977,0.8554,0.2157,0.8502
52,0.005026,0.1993,0.8549,0.2136,0.8348
54,0.004355,0.1935,0.8609,0.2059,0.8519
53,0.004686,0.1967,0.8573,2.3331,0.8549
55,0.004035,0.1861,0.8620,0.1979,0.8571
54,0.004355,0.1879,0.8632,0.2057,0.8604
56,0.003726,0.1843,0.8621,0.6306,0.8651
55,0.004035,0.1869,0.8642,0.1997,0.8555
57,0.003428,0.1831,0.8661,0.1830,0.8604
56,0.003726,0.1760,0.8657,10.6128,0.8632
58,0.003143,0.1779,0.8696,0.1968,0.8604
57,0.003428,0.1794,0.8627,12.8224,0.8687
59,0.002869,0.1684,0.8722,0.1806,0.8761
60,0.002609,0.1685,0.8721,0.1817,0.8692
58,0.003143,0.1753,0.8680,0.1961,0.8601
61,0.002362,0.1591,0.8798,0.1880,0.8632
59,0.002869,0.1685,0.8734,0.1777,0.8615
62,0.002129,0.1615,0.8757,0.2124,0.8499
60,0.002609,0.1627,0.8767,0.1721,0.8709
63,0.001910,0.1524,0.8816,0.1812,0.8648
61,0.002362,0.1555,0.8802,0.1835,0.8640
64,0.001706,0.1521,0.8812,0.1790,0.8601
62,0.002129,0.1593,0.8756,0.1919,0.8643
65,0.001517,0.1484,0.8836,0.1736,0.8651
63,0.001910,0.1469,0.8846,0.1871,0.8665
66,0.001343,0.1459,0.8862,0.1784,0.8736
64,0.001706,0.1525,0.8846,0.1743,0.8728
67,0.001185,0.1383,0.8867,0.1796,0.8725
65,0.001517,0.1480,0.8847,0.1713,0.8698
68,0.001042,0.1409,0.8902,0.1695,0.8747
66,0.001343,0.1420,0.8884,0.1808,0.8626
69,0.000916,0.1413,0.8902,0.1715,0.8791
67,0.001185,0.1334,0.8938,0.1732,0.8750
70,0.000806,0.1338,0.8937,0.1719,0.8756
68,0.001042,0.1324,0.8927,0.1705,0.8651
71,0.000713,0.1337,0.8978,0.1669,0.8780
69,0.000916,0.1342,0.8919,0.1689,0.8808
72,0.000637,0.1249,0.8964,0.1746,0.8706
70,0.000806,0.1273,0.8974,0.1680,0.8742
73,0.000577,0.1252,0.8966,0.1760,0.8711
71,0.000713,0.1241,0.9012,0.1601,0.8822
74,0.000534,0.1297,0.8960,0.1653,0.8756
72,0.000637,0.1291,0.8946,0.1656,0.8764
75,0.000509,0.1219,0.9015,0.1845,0.8618
73,0.000577,0.1191,0.9004,0.1651,0.8739
74,0.000534,0.1232,0.9035,0.1574,0.8764
75,0.000509,0.1196,0.9040,0.1736,0.8648
