epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.005000,1.3014,0.4330,0.7997,0.5551
2,0.004981,0.6068,0.6457,0.5522,0.6597
3,0.004923,0.4576,0.7221,0.4253,0.7170
4,0.004828,0.3717,0.7675,0.4343,0.7456
5,0.004697,0.3088,0.8043,0.3612,0.7588
6,0.004532,0.2850,0.8148,0.3975,0.7203
7,0.004336,0.2482,0.8336,0.3943,0.7467
8,0.004112,0.2258,0.8429,0.3231,0.7919
9,0.003863,0.2102,0.8464,0.3099,0.7775
10,0.003593,0.1913,0.8582,0.3572,0.7665
11,0.003307,0.1772,0.8584,0.3353,0.7808
12,0.003009,0.1597,0.8835,0.2546,0.8282
13,0.002704,0.1405,0.8885,0.2532,0.8282
14,0.002396,0.1328,0.8935,0.2630,0.8260
15,0.002091,0.1252,0.9058,0.2639,0.8095
16,0.001793,0.1111,0.9043,0.2639,0.8359
17,0.001507,0.0974,0.9173,0.2686,0.8337
18,0.001237,0.0865,0.9191,0.2554,0.8392
19,0.000988,0.0796,0.9256,0.2638,0.8238
20,0.000764,0.0764,0.9308,0.2442,0.8414
21,0.000568,0.0726,0.9334,0.2534,0.8480
22,0.000403,0.0687,0.9359,0.2457,0.8414
23,0.000272,0.0664,0.9341,0.2420,0.8480
24,0.000177,0.0590,0.9429,0.2431,0.8447
25,0.000119,0.0585,0.9424,0.2362,0.8546
