epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.010000,2.1078,0.4250,1.7139,0.5661
2,0.009961,1.5916,0.6302,1.5498,0.6322
3,0.009844,1.5070,0.6830,1.5088,0.6443
4,0.009652,1.4431,0.7161,1.5063,0.6344
5,0.009388,1.4139,0.7296,1.4243,0.6674
6,0.009055,1.3902,0.7492,1.4600,0.6806
7,0.008658,1.3623,0.7625,1.3971,0.6949
8,0.008205,1.3577,0.7657,1.4196,0.6828
9,0.007702,1.3428,0.7772,1.3974,0.6806
10,0.007158,1.3319,0.7788,1.3586,0.7280
11,0.006580,1.3263,0.7788,1.3608,0.7313
12,0.005978,1.3063,0.7945,1.3307,0.7423
13,0.005361,1.2894,0.8056,1.3266,0.7610
14,0.004739,1.2806,0.8046,1.3198,0.7379
15,0.004122,1.2754,0.8116,1.2972,0.7610
16,0.003520,1.2596,0.8191,1.3273,0.7500
17,0.002942,1.2395,0.8316,1.2751,0.7808
18,0.002398,1.2341,0.8416,1.2833,0.7775
19,0.001895,1.2271,0.8344,1.2827,0.7841
20,0.001442,1.2214,0.8474,1.2883,0.7775
21,0.001045,1.2120,0.8462,1.2783,0.7808
22,0.000712,1.2122,0.8479,1.2790,0.7863
23,0.000448,1.1965,0.8582,1.2660,0.7930
24,0.000256,1.1974,0.8609,1.2601,0.7863
25,0.000139,1.1921,0.8579,1.2607,0.7930
