epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.006000,1.9394,0.4721,1.7677,0.4670
2,0.005964,1.4913,0.6848,1.4614,0.6828
3,0.005856,1.3704,0.7597,1.4698,0.6784
4,0.005678,1.3123,0.7915,1.3387,0.7720
5,0.005437,1.2802,0.8068,1.3278,0.7610
6,0.005136,1.2496,0.8266,1.2917,0.7896
7,0.004784,1.2210,0.8474,1.2985,0.7676
8,0.004389,1.1992,0.8582,1.3095,0.7588
9,0.003962,1.1764,0.8685,1.2535,0.7985
10,0.003511,1.1655,0.8702,1.2510,0.8029
11,0.003050,1.1490,0.8855,1.2269,0.8051
12,0.002589,1.1358,0.8910,1.2072,0.8271
13,0.002138,1.1182,0.9040,1.2140,0.8172
14,0.001711,1.1154,0.9028,1.2008,0.8326
15,0.001316,1.0963,0.9133,1.1966,0.8315
16,0.000964,1.0913,0.9168,1.1959,0.8315
17,0.000663,1.0812,0.9228,1.1943,0.8326
18,0.000422,1.0794,0.9231,1.1833,0.8359
19,0.000244,1.0729,0.9261,1.1796,0.8447
20,0.000136,1.0701,0.9286,1.1807,0.8337
