epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.006000,1.9095,0.4475,1.7051,0.5121
2,0.005984,1.5145,0.6617,1.5207,0.6267
3,0.005936,1.3907,0.7489,1.4124,0.6993
4,0.005856,1.3343,0.7770,1.3603,0.7412
5,0.005745,1.2893,0.8066,1.3293,0.7742
6,0.005605,1.2613,0.8198,1.3374,0.7412
7,0.005437,1.2347,0.8414,1.2753,0.7797
8,0.005242,1.2082,0.8534,1.2796,0.7863
9,0.005024,1.1972,0.8582,1.2566,0.7952
10,0.004784,1.1789,0.8664,1.2459,0.8106
11,0.004525,1.1671,0.8712,1.2419,0.8117
12,0.004250,1.1449,0.8913,1.2420,0.7974
13,0.003962,1.1415,0.8885,1.2576,0.8084
14,0.003663,1.1333,0.8887,1.2428,0.8007
15,0.003358,1.1195,0.9015,1.2007,0.8238
16,0.003050,1.1115,0.9070,1.1828,0.8403
17,0.002742,1.1035,0.9116,1.1849,0.8348
18,0.002437,1.0950,0.9133,1.1838,0.8381
19,0.002138,1.0890,0.9211,1.1743,0.8491
20,0.001850,1.0790,0.9218,1.1921,0.8326
21,0.001575,1.0738,0.9256,1.1741,0.8480
22,0.001316,1.0684,0.9311,1.1645,0.8480
23,0.001076,1.0603,0.9339,1.1620,0.8535
24,0.000858,1.0583,0.9349,1.1617,0.8535
25,0.000663,1.0537,0.9351,1.1610,0.8535
26,0.000495,1.0496,0.9404,1.1650,0.8524
27,0.000355,1.0502,0.9429,1.1631,0.8502
28,0.000244,1.0480,0.9399,1.1591,0.8513
29,0.000164,1.0452,0.9436,1.1618,0.8524
30,0.000116,1.0399,0.9494,1.1612,0.8535
