epoch,train_loss,train_acc,test_loss,test_acc
1,1.1990,0.3047,0.8988,0.3414
2,0.6595,0.5267,0.6772,0.5253
3,0.4787,0.6655,0.5560,0.6300
4,0.3746,0.7184,0.5081,0.6189
5,0.3559,0.7344,0.4334,0.6663
6,0.2851,0.7725,0.3860,0.6960
7,0.2654,0.7805,0.4321,0.6916
8,0.2177,0.8061,0.3416,0.7004
9,0.2112,0.8051,0.3617,0.7148
10,0.1799,0.8266,0.3052,0.7511
11,0.1539,0.8411,0.3509,0.7313
12,0.1620,0.8304,0.3160,0.7258
13,0.1498,0.8454,0.2804,0.7621
14,0.1533,0.8487,0.3021,0.7555
15,0.1265,0.8617,0.3010,0.7577
16,0.1410,0.8532,0.3050,0.7698
17,0.1082,0.8782,0.2923,0.7819
18,0.1013,0.8752,0.3103,0.7775
19,0.0908,0.8850,0.3308,0.7819
20,0.0869,0.8842,0.2812,0.7709
21,0.0844,0.8880,0.2974,0.7974
22,0.0895,0.8785,0.3097,0.7269
23,0.0979,0.8775,0.3916,0.7753
24,0.0845,0.8875,0.2926,0.7742
25,0.0584,0.9181,0.3067,0.8007
26,0.0679,0.9053,0.3506,0.7830
27,0.0661,0.9043,0.4172,0.7511
28,0.0779,0.8918,0.3043,0.7731
29,0.0603,0.9110,0.3063,0.7852
30,0.0471,0.9228,0.3208,0.7985
