epoch,train_loss,train_acc,test_loss,test_acc
1,1.3670,0.2899,1.3139,0.2665
2,0.7857,0.5372,0.7949,0.4989
3,0.5418,0.6337,0.6639,0.5848
4,0.4373,0.6948,0.6160,0.5914
5,0.3791,0.7184,0.5364,0.6553
6,0.3227,0.7434,0.4201,0.6597
7,0.2876,0.7585,0.4308,0.6465
8,0.2565,0.7890,0.3742,0.7181
9,0.2331,0.7963,0.3388,0.7159
10,0.2147,0.8186,0.3171,0.7412
11,0.1928,0.8326,0.3391,0.7489
12,0.1802,0.8369,0.2847,0.7731
13,0.1706,0.8406,0.3167,0.7302
14,0.1658,0.8444,0.3701,0.7247
15,0.1575,0.8489,0.3352,0.7203
16,0.1451,0.8629,0.2724,0.7742
17,0.1268,0.8664,0.2953,0.7709
18,0.1284,0.8682,0.2799,0.7731
19,0.1103,0.8847,0.2694,0.8018
20,0.1087,0.8820,0.3349,0.7841
21,0.1118,0.8802,0.3412,0.7225
22,0.0985,0.8852,0.3143,0.7621
23,0.0936,0.8923,0.2301,0.8062
24,0.0866,0.9013,0.2766,0.7786
25,0.0901,0.8945,0.3074,0.7753
26,0.0736,0.9078,0.2402,0.7874
27,0.0757,0.9088,0.2964,0.7819
28,0.0674,0.9153,0.2303,0.7996
29,0.0650,0.9141,0.2658,0.8128
30,0.0580,0.9241,0.2243,0.8128
