epoch,train_loss,train_acc,test_loss,test_acc
1,1.1963,0.3498,0.9507,0.3579
2,0.6217,0.6026,0.6500,0.5551
3,0.4576,0.6840,0.6240,0.6002
4,0.3678,0.7176,0.5072,0.5881
5,0.3059,0.7517,0.4027,0.6740
6,0.2605,0.7785,0.4012,0.6597
7,0.2277,0.8078,0.3304,0.7313
8,0.1989,0.8304,0.3240,0.7445
9,0.1828,0.8399,0.3360,0.7401
10,0.1662,0.8497,0.2651,0.7687
11,0.1522,0.8549,0.2580,0.7841
12,0.1353,0.8652,0.2506,0.7874
13,0.1251,0.8757,0.2520,0.7841
14,0.1188,0.8702,0.2802,0.7797
15,0.1017,0.8958,0.3238,0.7830
16,0.0971,0.8893,0.2800,0.7555
17,0.0874,0.9023,0.2721,0.8040
18,0.0867,0.9010,0.2653,0.8007
19,0.0731,0.9093,0.2275,0.8205
20,0.0701,0.9105,0.2681,0.7896
21,0.0643,0.9075,0.2797,0.8084
22,0.0579,0.9253,0.2319,0.8337
23,0.0588,0.9186,0.2558,0.8073
24,0.0480,0.9298,0.2198,0.8238
25,0.0387,0.9391,0.2619,0.7985
26,0.0436,0.9313,0.3402,0.7907
27,0.0436,0.9301,0.2348,0.8106
28,0.0345,0.9431,0.2242,0.8315
29,0.0291,0.9476,0.3554,0.8062
30,0.0392,0.9414,0.2662,0.8238
31,0.0294,0.9524,0.2053,0.8436
32,0.0331,0.9486,0.2296,0.8216
33,0.0237,0.9584,0.2492,0.8172
34,0.0323,0.9529,0.2419,0.8271
35,0.0279,0.9529,0.2689,0.8139
36,0.0182,0.9629,0.2871,0.8106
37,0.0214,0.9599,0.3504,0.7885
38,0.0235,0.9572,0.2779,0.8172
39,0.0159,0.9704,0.3155,0.8161
40,0.0167,0.9709,0.2827,0.8117
41,0.0257,0.9624,0.2610,0.8238
42,0.0190,0.9644,0.2964,0.8216
43,0.0137,0.9744,0.3341,0.7830
44,0.0232,0.9612,0.2847,0.7852
45,0.0149,0.9724,0.2886,0.8238
46,0.0087,0.9832,0.2694,0.8436
47,0.0098,0.9835,0.3492,0.8051
48,0.0307,0.9549,0.2685,0.8348
49,0.0105,0.9807,0.3759,0.8161
50,0.0230,0.9619,0.2556,0.8315
