epoch,train_loss,train_acc,test_loss,test_acc
1,2.1607,0.2065,2.3522,0.1101
2,2.1461,0.2228,2.3874,0.1101
3,2.1419,0.2228,2.3900,0.1101
4,2.0315,0.2551,2.0546,0.2070
5,1.6201,0.4049,1.7619,0.3425
6,1.3279,0.5407,1.5505,0.4328
7,1.1905,0.5888,1.4699,0.4736
8,1.0792,0.6412,1.4251,0.4967
9,0.9557,0.6865,1.2028,0.5529
10,0.8834,0.7076,1.1123,0.5870
11,0.8335,0.7261,1.0500,0.6024
12,0.7520,0.7484,1.0989,0.5947
13,0.7352,0.7479,1.0927,0.6112
14,0.7218,0.7567,1.0306,0.6300
15,0.6981,0.7645,1.0344,0.6432
16,0.6743,0.7695,0.9782,0.6432
17,0.6663,0.7747,0.9681,0.6388
18,0.6333,0.7858,1.0182,0.6575
19,0.6311,0.7793,1.0525,0.6211
20,0.6148,0.7843,1.0484,0.6553
